2. 20.2
3. 17.5
4. 15.9
5. 14.9
6. 14.1
8. 12.6
10. 11.6
13. 10.7
16. 10.3
20. 10.
25. 9.9
32. 10.
40. 10.2
50. 10.7
65. 11.4
80. 12.2
100. 12.9
125. 13.5
160. 13.6
200. 13.1
250. 11.9
320. 10.1
400. 8.6
500. 7.4


